variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
OM Cost|Fixed|Liquids|Biomass|w/o CCS,"OM Cost|Fixed|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of om cost > fixed > liquids > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, cost, fixed, liquids, o, om, om cost, w, w/o ccs",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Liquids|Oil,"OM Cost|Fixed|Liquids|Oil represents oil within the broader context of om cost > fixed > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, fixed, liquids, oil, om, om cost",Error,0.0,Batch failed after retries.,,,,,
Policy Cost|Consumption Loss,"Policy Cost|Consumption Loss represents consumption loss within the broader context of policy cost > consumption loss in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: consumption, consumption loss, cost, loss, policy, policy cost",Error,0.0,Batch failed after retries.,,,,,
Policy Cost|GDP Loss,"Policy Cost|GDP Loss represents gdp loss within the broader context of policy cost > gdp loss in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, gdp, gdp loss, loss, policy, policy cost",Error,0.0,Batch failed after retries.,,,,,
Population|Risk of Hunger,"Population|Risk of Hunger represents risk of hunger within the broader context of population > risk of hunger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, human population, hunger, of, population, population size, risk, risk of hunger",Error,0.0,Batch failed after retries.,,,,,
Price|Agriculture|Corn|Index,"Price|Agriculture|Corn|Index represents index within the broader context of price > agriculture > corn > index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, corn, crop demand, food production, index, price",Error,0.0,Batch failed after retries.,,,,,
Price|Agriculture|Non-Energy Crops and Livestock|Index,"Price|Agriculture|Non-Energy Crops and Livestock|Index represents index within the broader context of price > agriculture > non-energy crops and livestock > index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, and, crop demand, crops, energy, energy demand, energy sector, energy use, food production, index, livestock, non, non-energy crops and livestock, price",Error,0.0,Batch failed after retries.,,,,,
Price|Agriculture|Non-Energy Crops|Index,"Price|Agriculture|Non-Energy Crops|Index represents index within the broader context of price > agriculture > non-energy crops > index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, crop demand, crops, energy, energy demand, energy sector, energy use, food production, index, non, non-energy crops, price",Error,0.0,Batch failed after retries.,,,,,
Price|Agriculture|Soybean|Index,"Price|Agriculture|Soybean|Index represents index within the broader context of price > agriculture > soybean > index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, crop demand, food production, index, price, soybean",Error,0.0,Batch failed after retries.,,,,,
Price|Agriculture|Wheat|Index,"Price|Agriculture|Wheat|Index represents index within the broader context of price > agriculture > wheat > index in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agriculture, crop demand, food production, index, price, wheat",AFOLU,0.9,"Given the description, it's likely related to crop demand, which falls under the agriculture sector.",Agriculture,,,,
Price|Primary Energy|Biomass,"Price|Primary Energy|Biomass represents biomass within the broader context of price > primary energy > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, price, primary, primary energy",Error,,Missing from batch response,,,,,
Price|Primary Energy|Coal,"Price|Primary Energy|Coal represents coal within the broader context of price > primary energy > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, price, primary, primary energy",Error,,Missing from batch response,,,,,
Price|Primary Energy|Gas,"Price|Primary Energy|Gas represents gas within the broader context of price > primary energy > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, gas, price, primary, primary energy",Error,,Missing from batch response,,,,,
Price|Primary Energy|Oil,"Price|Primary Energy|Oil represents oil within the broader context of price > primary energy > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, oil, price, primary, primary energy",Error,,Missing from batch response,,,,,
Price|Secondary Energy|Electricity,"Price|Secondary Energy|Electricity represents electricity within the broader context of price > secondary energy > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, price, secondary, secondary energy",Error,,Missing from batch response,,,,,
