variable,description
Emissions|CO2|Energy|Supply|Other Sector,"Emissions|CO2|Energy|Supply|Other Sector represents other sector within the broader context of emissions → co2 → energy → supply → other sector in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions, other, other sector, sector, supply"
Emissions|CO2|Energy|Supply|Solids,"Emissions|CO2|Energy|Supply|Solids represents solids within the broader context of emissions → co2 → energy → supply → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions, solids, supply"
Capacity Additions|Electricity|Storage Capacity,"Capacity Additions|Electricity|Storage Capacity represents storage capacity within the broader context of capacity additions → electricity → storage capacity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, storage, storage capacity"
Concentration|CH4,"Concentration|CH4 represents ch4 within the broader context of concentration → ch4 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ch4, concentration"
Concentration|CO2,"Concentration|CO2 represents co2 within the broader context of concentration → co2 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: co2, concentration"
Concentration|N2O,"Concentration|N2O represents n2o within the broader context of concentration → n2o in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: concentration, n2o"
Emissions|CO2|Energy|Demand|Other Sector,"Emissions|CO2|Energy|Demand|Other Sector represents other sector within the broader context of emissions → co2 → energy → demand → other sector in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, other, other sector, sector"
Emissions|PFC|C2F6,"Emissions|PFC|C2F6 represents c2f6 within the broader context of emissions → pfc → c2f6 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: c2f6, carbon emissions, co2 output, emissions, ghg emissions, pfc"
Emissions|PFC|CF4,"Emissions|PFC|CF4 represents cf4 within the broader context of emissions → pfc → cf4 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, cf4, co2 output, emissions, ghg emissions, pfc"
Energy Service|Residential and Commercial|Floor Space,"Energy Service|Residential and Commercial|Floor Space represents floor space within the broader context of energy service → residential and commercial → floor space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy service, energy use, floor, floor space, residential, residential and commercial, service, space"
Final Energy|Transportation|Liquids|Coal,"Final Energy|Transportation|Liquids|Coal represents coal within the broader context of final energy → transportation → liquids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Liquids|Natural Gas,"Final Energy|Transportation|Liquids|Natural Gas represents natural gas within the broader context of final energy → transportation → liquids → natural gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gas, liquids, mobility, natural, natural gas, transport, transportation, vehicle demand"
Policy Cost|Area under MAC Curve,"Policy Cost|Area under MAC Curve represents area under mac curve within the broader context of policy cost → area under mac curve in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: area, area under mac curve, cost, curve, mac, policy, policy cost, under"
Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass,"Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass represents biomass within the broader context of price → final energy → residential and commercial → residential → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, price, residential, residential and commercial, solids"
